"partner","geo","time","values"
"EL","SE",2015-01-01,0
"EL","SI",2015-01-01,1
"EL","SK",2015-01-01,0
"ES","AT",2015-01-01,110
"ES","BG",2015-01-01,0
"ES","CH",2015-01-01,580
"ES","DE",2015-01-01,2033
"ES","EE",2015-01-01,0
"ES","EL",2015-01-01,3
"ES","FI",2015-01-01,70
"ES","FR",2015-01-01,1007
"ES","IE",2015-01-01,1
"ES","IT",2015-01-01,86
"ES","LU",2015-01-01,38
"ES","LV",2015-01-01,0
"ES","MT",2015-01-01,10
"ES","NO",2015-01-01,96
"ES","PL",2015-01-01,5
"ES","PT",2015-01-01,15
"ES","RO",2015-01-01,0
"ES","SE",2015-01-01,267
"ES","SI",2015-01-01,0
"ES","SK",2015-01-01,0
"FI","AT",2015-01-01,19
"FI","BG",2015-01-01,0
"FI","CH",2015-01-01,29
"FI","DE",2015-01-01,93
"FI","EE",2015-01-01,4
"FI","EL",2015-01-01,15
"FI","FI",2015-01-01,0
"FI","FR",2015-01-01,36
"FI","IE",2015-01-01,1
"FI","IT",2015-01-01,47
"FI","LU",2015-01-01,4
"FI","LV",2015-01-01,0
"FI","MT",2015-01-01,0
"FI","NO",2015-01-01,15
"FI","PL",2015-01-01,7
"FI","PT",2015-01-01,1
"FI","RO",2015-01-01,2
"FI","SE",2015-01-01,78
"FI","SI",2015-01-01,1
"FI","SK",2015-01-01,0
"FR","AT",2015-01-01,120
"FR","BG",2015-01-01,4
"FR","CH",2015-01-01,562
"FR","DE",2015-01-01,1866
"FR","EE",2015-01-01,1
"FR","EL",2015-01-01,19
"FR","FI",2015-01-01,86
"FR","FR",2015-01-01,0
"FR","IE",2015-01-01,15
"FR","IT",2015-01-01,214
"FR","LU",2015-01-01,24
"FR","LV",2015-01-01,1
"FR","MT",2015-01-01,33
"FR","NO",2015-01-01,89
"FR","PL",2015-01-01,36
"FR","PT",2015-01-01,2
"FR","RO",2015-01-01,5
"FR","SE",2015-01-01,362
"FR","SI",2015-01-01,2
"FR","SK",2015-01-01,2
"HR","AT",2015-01-01,761
"HR","BG",2015-01-01,0
"HR","CH",2015-01-01,312
"HR","DE",2015-01-01,60
"HR","EE",2015-01-01,0
"HR","EL",2015-01-01,0
"HR","FI",2015-01-01,1
"HR","FR",2015-01-01,12
"HR","IE",2015-01-01,0
"HR","IT",2015-01-01,8
"HR","LU",2015-01-01,0
"HR","LV",2015-01-01,0
"HR","MT",2015-01-01,0
"HR","NO",2015-01-01,6
"HR","PL",2015-01-01,0
"HR","PT",2015-01-01,0
"HR","RO",2015-01-01,0
"HR","SE",2015-01-01,25
"HR","SI",2015-01-01,14
"HR","SK",2015-01-01,0
"HU","AT",2015-01-01,10868
"HU","BG",2015-01-01,0
"HU","CH",2015-01-01,1468
"HU","DE",2015-01-01,14450
"HU","EE",2015-01-01,0
"HU","EL",2015-01-01,13
"HU","FI",2015-01-01,220
"HU","FR",2015-01-01,3535
"HU","IE",2015-01-01,23
"HU","IT",2015-01-01,2169
"HU","LU",2015-01-01,78
"HU","LV",2015-01-01,0
"HU","MT",2015-01-01,5
"HU","NO",2015-01-01,968
"HU","PL",2015-01-01,20
"HU","PT",2015-01-01,11
