AG,364.20,373.24
AI,299.25,308.40
AR,320.78,332.82
BE,418.79,426.59
BL,413.86,420.76
BS,505.86,512.08
FR,364.75,372.03
GE,469.65,483.00
GL,336.45,344.51
GR,324.29,330.77
JU,403.96,407.83
LU,344.15,355.07
NE,397.34,403.41
NW,300.25,308.43
OW,315.11,325.38
SG,350.19,362.19
SH,371.95,380.10
SO,367.83,376.84
SZ,334.49,343.82
TG,350.10,359.34
TI,411.40,415.82
UR,322.64,332.20
VD,427.90,435.11
VS,334.52,342.38
ZG,330.06,337.36
ZH,385.49,394.09
