"country","private","public"
"South Asia",3.00613645639906,1.36789917246248
"Sub-Saharan Africa",3.14680573830679,2.3148230411868
"North America",8.31917588678472,8.19772077402148
"Latin America & Caribbean",3.50652323390267,3.73231283005765
"World",3.95051124029965,5.9940282335562
"Switzerland",3.9641513648,7.6951173552
"East Asia & Pacific",2.33106995314194,4.57144756846044
"European Union",2.22047390213565,7.81844617469211
